label,scale,method,ene,delta,reldelta
Ammonia,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-10.739437525530734,-1.8443089468307345,-0.20733921162725627
Ammonia,1,PBE,-6.440102638145343,2.4550259405546564,0.27599667827549856
Anthracene,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-31.265177983627517,-4.329100215227516,-0.16071754219191445
Anthracene,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-27.59634881191998,-0.6602710435199803,-0.024512516231838914
Anthracene,1,PBE+MBD(scs),-25.83019473613574,1.1058830322642592,0.04105583009422491
Anthracene,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-28.916062404491175,-1.9799846360911744,-0.07350679089640842
Anthracene,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-24.96312409670209,1.972953671697912,0.07324576683590059
Anthracene,1,PBE,1.596858094993343,28.532935863393345,1.0592832449001426
Benzene,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-15.533863761218177,-3.1683925925181775,-0.2562290226787432
Benzene,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-14.24610437266839,-1.8806332039683902,-0.1520874682663713
Benzene,1,PBE+MBD(scs),-13.168586848206518,-0.8031156795065186,-0.06494824730491458
Benzene,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-14.873732494131891,-2.508261325431892,-0.20284397506670904
Benzene,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-13.208637080194602,-0.8431659114946033,-0.06818712364384952
Benzene,1,PBE,-0.3053838920522379,12.060087276647762,0.9753034973042323
CO2,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-5.851900046017559,0.6405352331824403,0.09865870134039555
CO2,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-6.45021282585828,0.04222245334171948,0.006503330649592882
CO2,1,PBE+MBD(scs),-5.544796317534431,0.9476389616655689,0.14596047875926418
CO2,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-6.389401700744633,0.1030335784553662,0.015869789073671297
CO2,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-6.154385792206383,0.3380494869936168,0.05206821053367072
CO2,1,PBE,-2.1853848491798322,4.307050430020167,0.6633952045419363
Cyanamide,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-22.246012626167047,-3.1957636444670463,-0.1677544292222612
Cyanamide,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-22.59413547412741,-3.543886492427408,-0.1860283556310328
Cyanamide,1,PBE+MBD(scs),-22.22391958122143,-3.1736705995214294,-0.16659470448759553
Cyanamide,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-22.63387392662949,-3.5836249449294897,-0.1881143363728202
Cyanamide,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-22.046801219741987,-2.9965522380419856,-0.1572972742204328
Cyanamide,1,PBE,-15.39328888059014,3.6569601011098616,0.19196390055703738
Cytosine,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-40.63711555726562,-0.05283967266561973,-0.001301974016140328
Cytosine,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-39.951979591109954,0.6322962934900502,0.01557983430055431
Cytosine,1,PBE+MBD(scs),-38.68199067751577,1.9022852070842333,0.04687246884712976
Cytosine,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-40.15615301623319,0.42812286836681324,0.01054898378830673
Cytosine,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-38.39915539328929,2.1851204913107125,0.05384155423948003
Cytosine,1,PBE,-21.861155580375772,18.72312030422423,0.4613392723197226
Ethylcarbamate,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-23.34510920100447,-2.723201739504468,-0.13205382405039592
Ethylcarbamate,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-23.110702510229196,-2.4887950487291945,-0.12068694680041804
Ethylcarbamate,1,PBE+MBD(scs),-21.921088444497055,-1.2991809829970542,-0.0630000394203376
Ethylcarbamate,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-23.117910656471555,-2.4960031949715535,-0.12103648508904707
Ethylcarbamate,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-22.137684696240267,-1.5157772347402663,-0.073503250733238
Ethylcarbamate,1,PBE,-10.193809860654081,10.42809760084592,0.5056805545420384
Foramide,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-20.283858545553205,-1.3515477042532034,-0.07138841716589935
Foramide,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-20.41188574479356,-1.4795749034935604,-0.07815078232636731
Foramide,1,PBE+MBD(scs),-19.72765450752347,-0.7953436662234701,-0.04200985674123113
Foramide,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-20.53464395443082,-1.6023331131308183,-0.08463484075252975
Foramide,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-19.850620449325202,-0.9183096080252007,-0.04850488752920477
Foramide,1,PBE,-12.970264503877834,5.9620463374221675,0.31491382047331623
Hexamine,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-24.79413383045392,-4.199760617853919,-0.20392757645493337
Hexamine,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-24.335907118640854,-3.7415339060408535,-0.181677483816391
Hexamine,1,PBE+MBD(scs),-22.12056771895794,-1.526194506357939,-0.07410735401377432
Hexamine,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-24.476022654785126,-3.8816494421851253,-0.1884810672368637
Hexamine,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-22.81950240551418,-2.225129192914178,-0.10804549232665185
Hexamine,1,PBE,-6.391283001244688,14.203090211355313,0.6896587754690982
Imidazole,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-23.94489732544253,-3.190785161242527,-0.15374231072849753
Imidazole,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-23.192900945785844,-2.438788781585842,-0.11750870200039938
Imidazole,1,PBE+MBD(scs),-22.448366952225424,-1.6942547880254217,-0.08163465508044918
Imidazole,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-23.443683510549295,-2.689571346349293,-0.1295922140667956
Imidazole,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-22.32241680357227,-1.5683046393722684,-0.07556597106946016
Imidazole,1,PBE,-11.818020082863324,8.936092081336678,0.4305697112281716
Naphthalene,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-23.334274836604116,-3.7989933266041156,-0.19446831747264212
Naphthalene,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-20.770746487712632,-1.2354649777126312,-0.06324275271283926
Naphthalene,1,PBE+MBD(scs),-19.460224931822978,0.07505657817702271,0.0038421037413052723
Naphthalene,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-21.87862736046189,-2.3433458504618905,-0.1199545473282453
Naphthalene,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-18.943731959293753,0.5915495507062474,0.03028108657678859
Naphthalene,1,PBE,0.8276104336751042,20.362891943675105,1.0423649095228782
Oxalic acid (alpha),1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-23.403270479268368,-0.39556059236836916,-0.017192523476384378
Oxalic acid (alpha),1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-24.87347631493615,-1.8657664280361494,-0.08109309606248422
Oxalic acid (alpha),1,PBE+MBD(scs),-22.853519324333664,0.15419056256633468,0.006701691012460429
Oxalic acid (alpha),1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-24.690865152850037,-1.6831552659500382,-0.07315614088598986
Oxalic acid (alpha),1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-23.83309987547153,-0.8253899885715299,-0.035874495663798585
Oxalic acid (alpha),1,PBE,-12.374129780227847,10.633580106672152,0.4621746431498009
Oxalic acid (beta),1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-24.093591659046655,-1.1330698442466556,-0.04934861034021867
Oxalic acid (beta),1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-25.415196026223445,-2.4546742114234448,-0.10690846798791827
Oxalic acid (beta),1,PBE+MBD(scs),-23.40347226521598,-0.4429504504159816,-0.0192918285563729
Oxalic acid (beta),1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-25.275795010678085,-2.3152731958780848,-0.10083713316940798
Oxalic acid (beta),1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-24.41026273391591,-1.4497409191159107,-0.06314059108976477
Oxalic acid (beta),1,PBE,-13.255029671594478,9.705492143205522,0.42270346560458005
Pyrazine,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-17.553154108591922,-2.9043639601919224,-0.19826647325609678
Pyrazine,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-16.59991862810588,-1.9511284797058792,-0.13319383102221513
Pyrazine,1,PBE+MBD(scs),-15.059896694607534,-0.4111065462075345,-0.02806419793326326
Pyrazine,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-16.80629320700685,-2.1575030586068493,-0.14728199644818454
Pyrazine,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-15.473716460152652,-0.8249263117526517,-0.05631361384767694
Pyrazine,1,PBE,-3.0847539874482117,11.564036160951789,0.7894191973399837
Pyrazole,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-20.828450638271264,-2.253493870771262,-0.12131892951234896
Pyrazole,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-20.456178821219662,-1.881222053719661,-0.10127733147735633
Pyrazole,1,PBE+MBD(scs),-19.75029622448599,-1.1753394569859879,-0.06327548815846727
Pyrazole,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-20.698057485060104,-2.123100717560103,-0.11429909335104474
Pyrazole,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-19.696820773479732,-1.121864005979731,-0.060396587729486396
Pyrazole,1,PBE,-9.685435535790813,8.889521231709189,0.4785756081684613
Succinic acid,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-34.35220198473859,-3.216437812838592,-0.10330364127505258
Succinic acid,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-34.66306138765276,-3.5272972157527605,-0.11328763913673727
Succinic acid,1,PBE+MBD(scs),-32.46484019027415,-1.3290760183741526,-0.042686474982157094
Succinic acid,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-34.7976492102952,-3.661885038395198,-0.1176102509698492
Succinic acid,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-33.15876259921289,-2.022998427312892,-0.06497346318991734
Succinic acid,1,PBE,-17.005160414403406,14.130603757496594,0.4538383474220123
Triazine,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-15.91301850542276,-1.1655733208227606,-0.0790356096417235
Triazine,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-15.444032051311641,-0.696586866711641,-0.04723440962093224
Triazine,1,PBE+MBD(scs),-13.667674265486877,1.0797709191131233,0.07321748991755349
Triazine,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-15.550989675795307,-0.8035444911953071,-0.05448703020333362
Triazine,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-14.400763217148048,0.3466819674519517,0.02350793395821358
Triazine,1,PBE,-2.91272279217777,11.83472239242223,0.802493058579436
Trioxane,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-17.60351912229714,-1.7420540216971396,-0.10982932602053527
Trioxane,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-17.121829353105976,-1.2603642525059762,-0.07946077140492525
Trioxane,1,PBE+MBD(scs),-15.308692139668858,0.5527729609311418,0.03485005687842996
Trioxane,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-17.093375263944367,-1.2319101633443665,-0.07766685835962066
Trioxane,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-16.041998380392425,-0.1805332797924244,-0.011381879205193677
Trioxane,1,PBE,-3.7767561119365514,12.084708988663449,0.7618910934152177
Uracil,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-34.94507479251363,-2.52182326621363,-0.07777823467729826
Uracil,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-34.446744724958116,-2.023493198658116,-0.06240870682006606
Uracil,1,PBE+MBD(scs),-32.99718696576444,-0.5739354394644423,-0.017701353579510578
Uracil,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-34.30059152114764,-1.8773399948476381,-0.05790104034830809
Uracil,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-33.034048302190335,-0.6107967758903357,-0.018838233278204383
Uracil,1,PBE,-18.04474290465145,14.37850862164855,0.44346288372668224
Urea,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-26.391316385082835,-1.8863874261828357,-0.0769799181767354
Urea,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-26.949419822837687,-2.4444908639376877,-0.09975506837981947
Urea,1,PBE+MBD(scs),-26.288800807060536,-1.783871848160537,-0.07279645050807823
Urea,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-26.950941004760402,-2.446012045860403,-0.09981714494920135
Urea,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-26.333616974356364,-1.8286880154563647,-0.07462531389188948
Urea,1,PBE,-17.67272051693129,6.83220844196871,0.27880955922899364
