label,scale,method,ene,delta,reldelta
AcNH2 ... AcNH2,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-16.770468267581098,-0.5104682675810963,-0.031394112397361396
AcNH2 ... AcNH2,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-16.943609937822124,-0.6836099378221228,-0.04204243160037655
AcNH2 ... AcNH2,1.0,PBE,-15.170315633687581,1.0896843663124205,0.06701625869080076
AcNH2 ... AcNH2,1.05,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-16.169787385126543,-0.22978738512654395,-0.014415770710573648
AcNH2 ... AcNH2,1.05,PBE+MBD(scs),-16.498475771816725,-0.5584757718167257,-0.03503612119301918
AcNH2 ... AcNH2,1.05,"PBE+MBD(vvpol,beta[0.8],17base)",-16.992769177759325,-1.052769177759325,-0.06604574515428639
AcNH2 ... AcNH2,1.05,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-16.52092323458215,-0.5809232345821496,-0.03644436854342218
AcNH2 ... AcNH2,1.05,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-16.347694629138676,-0.4076946291386765,-0.02557682742400731
AcNH2 ... AcNH2,1.05,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-16.49740754741191,-0.5574075474119109,-0.034969105860220256
AcNH2 ... AcNH2,1.05,PBE,-14.820272177409992,1.1197278225900078,0.07024641296047728
AcNH2 ... AcNH2,1.1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-15.476541563771333,-0.21654156377133305,-0.014190141793665338
AcNH2 ... AcNH2,1.1,PBE+MBD(scs),-15.741440625778486,-0.481440625778486,-0.0315491891073713
AcNH2 ... AcNH2,1.1,"PBE+MBD(vvpol,beta[0.8],17base)",-16.207957292656534,-0.9479572926565343,-0.06212039925665362
AcNH2 ... AcNH2,1.1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-15.763443259847746,-0.5034432598477458,-0.03299103930850235
AcNH2 ... AcNH2,1.1,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-15.610007427919673,-0.35000742791967276,-0.02293626657402836
AcNH2 ... AcNH2,1.1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-15.740669607432638,-0.4806696074326382,-0.03149866365875742
AcNH2 ... AcNH2,1.1,PBE,-14.160870259335262,1.099129740664738,0.07202685063333801
AcNH2 ... AcNH2,1.25,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-12.69138327818677,-0.27138327818676977,-0.02185050549007808
AcNH2 ... AcNH2,1.25,PBE+MBD(scs),-12.778944199175431,-0.35894419917543097,-0.0289004991284566
AcNH2 ... AcNH2,1.25,"PBE+MBD(vvpol,beta[0.8],17base)",-13.153339662203786,-0.733339662203786,-0.05904506136906489
AcNH2 ... AcNH2,1.25,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-12.793912708792442,-0.3739127087924423,-0.030105693139488108
AcNH2 ... AcNH2,1.25,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-12.684114289577476,-0.26411428957747596,-0.021265240706721093
AcNH2 ... AcNH2,1.25,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-12.772549816305036,-0.3525498163050358,-0.028385653486717857
AcNH2 ... AcNH2,1.25,PBE,-11.489898905918047,0.9301010940819534,0.07488736667326518
AcNH2 ... AcNH2,1.5,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-8.281727934228641,-0.2817279342286412,-0.03521599177858015
AcNH2 ... AcNH2,1.5,PBE+MBD(scs),-8.284922181625626,-0.28492218162562644,-0.035615272703203305
AcNH2 ... AcNH2,1.5,"PBE+MBD(vvpol,beta[0.8],17base)",-8.516020157907205,-0.5160201579072048,-0.0645025197384006
AcNH2 ... AcNH2,1.5,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-8.289746484653365,-0.2897464846533655,-0.03621831058167069
AcNH2 ... AcNH2,1.5,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-8.236377634290344,-0.23637763429034386,-0.029547204286292983
AcNH2 ... AcNH2,1.5,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-8.271174971755089,-0.2711749717550891,-0.033896871469386136
AcNH2 ... AcNH2,1.5,PBE,-7.441890118251534,0.5581098817484662,0.06976373521855828
AcNH2 ... AcNH2,2.0,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-3.0889318500937,-0.08893185009369997,-0.029643950031233324
AcNH2 ... AcNH2,2.0,PBE+MBD(scs),-3.074679270743093,-0.074679270743093,-0.024893090247697664
AcNH2 ... AcNH2,2.0,"PBE+MBD(vvpol,beta[0.8],17base)",-3.122182053465839,-0.12218205346583888,-0.040727351155279624
AcNH2 ... AcNH2,2.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.070612082739308,-0.07061208273930797,-0.023537360913102656
AcNH2 ... AcNH2,2.0,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-3.051125793758466,-0.05112579375846593,-0.01704193125282198
AcNH2 ... AcNH2,2.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.0642165478604757,-0.0642165478604757,-0.0214055159534919
AcNH2 ... AcNH2,2.0,PBE,-2.825905919976962,0.17409408002303817,0.05803136000767939
AcNH2 ... Uracil,0.9,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-18.35604198565075,-0.6560419856507522,-0.03706451896331934
AcNH2 ... Uracil,0.9,PBE+MBD(scs),-18.836915760488317,-1.1369157604883178,-0.0642325288411479
AcNH2 ... Uracil,0.9,"PBE+MBD(vvpol,beta[0.8],17base)",-19.384926548022936,-1.6849265480229363,-0.09519359028378171
AcNH2 ... Uracil,0.9,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-18.789073388699734,-1.0890733886997346,-0.06152956998303585
AcNH2 ... Uracil,0.9,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-18.522375252462247,-0.8223752524622476,-0.04646187867018348
AcNH2 ... Uracil,0.9,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-18.761889964909663,-1.061889964909664,-0.05999378332822961
AcNH2 ... Uracil,0.9,PBE,-16.56580674153599,1.134193258464009,0.06407871516745814
AcNH2 ... Uracil,0.95,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-19.359377946896203,-0.46937794689620205,-0.02484795907338285
AcNH2 ... Uracil,0.95,PBE+MBD(scs),-19.79952859279142,-0.9095285927914212,-0.048148681460636375
AcNH2 ... Uracil,0.95,"PBE+MBD(vvpol,beta[0.8],17base)",-20.339542171882037,-1.4495421718820367,-0.07673595404351703
AcNH2 ... Uracil,0.95,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-19.767035588182704,-0.8770355881827037,-0.046428564752922376
AcNH2 ... Uracil,0.95,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-19.526843164086998,-0.6368431640869971,-0.03371324320206443
AcNH2 ... Uracil,0.95,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-19.74047593893612,-0.8504759389361212,-0.04502254838200747
AcNH2 ... Uracil,0.95,PBE,-17.63534613687345,1.2546538631265491,0.06641894458054787
AcNH2 ... Uracil,1.0,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-19.521124833292948,-0.3311248332929466,-0.01725507208405141
AcNH2 ... Uracil,1.0,PBE+MBD(scs),-19.922878947945406,-0.7328789479454052,-0.03819066951252763
AcNH2 ... Uracil,1.0,"PBE+MBD(vvpol,beta[0.8],17base)",-20.44819917136322,-1.25819917136322,-0.0655653554644721
AcNH2 ... Uracil,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-19.900930893625112,-0.7109308936251111,-0.037046945994013085
AcNH2 ... Uracil,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-19.685638822099918,-0.4956388220999166,-0.025827974054190544
AcNH2 ... Uracil,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-19.87498375631287,-0.6849837563128673,-0.03569482836440163
AcNH2 ... Uracil,1.0,PBE,-17.86596574219865,1.324034257801351,0.06899605303811104
AcNH2 ... Uracil,1.05,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-19.137870311767298,-0.23787031176729911,-0.012585730781338579
AcNH2 ... Uracil,1.05,PBE+MBD(scs),-19.495665392601623,-0.5956653926016244,-0.03151668743923939
AcNH2 ... Uracil,1.05,"PBE+MBD(vvpol,beta[0.8],17base)",-20.0012427969391,-1.1012427969391005,-0.058266814652862466
AcNH2 ... Uracil,1.05,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-19.480813734526873,-0.580813734526874,-0.030730885424702332
AcNH2 ... Uracil,1.05,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-19.287036841989345,-0.38703684198934596,-0.020478139787796085
AcNH2 ... Uracil,1.05,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-19.454065125976797,-0.5540651259767984,-0.029315615131047534
AcNH2 ... Uracil,1.05,PBE,-17.546755037751172,1.3532449622488265,0.07160026255284797
AcNH2 ... Uracil,1.1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-18.41674730880161,-0.19674730880161206,-0.01079842529097761
AcNH2 ... Uracil,1.1,PBE+MBD(scs),-18.722152863481654,-0.5021528634816548,-0.02756053037769785
AcNH2 ... Uracil,1.1,"PBE+MBD(vvpol,beta[0.8],17base)",-19.204150672077507,-0.984150672077508,-0.05401485576715192
AcNH2 ... Uracil,1.1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-18.71171296153963,-0.49171296153962984,-0.026987539052669037
AcNH2 ... Uracil,1.1,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-18.5370634321227,-0.31706343212270127,-0.01740194468291445
AcNH2 ... Uracil,1.1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-18.68481655618083,-0.46481655618083195,-0.025511336782702086
AcNH2 ... Uracil,1.1,PBE,-16.881214435214034,1.3387855647859652,0.07347890037244595
AcNH2 ... Uracil,1.25,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-15.41329505020108,-0.20329505020107952,-0.013365881012562756
AcNH2 ... Uracil,1.25,PBE+MBD(scs),-15.548820695889821,-0.33882069588982056,-0.02227617987441292
AcNH2 ... Uracil,1.25,"PBE+MBD(vvpol,beta[0.8],17base)",-15.946821291999182,-0.7368212919991812,-0.048443214464114474
AcNH2 ... Uracil,1.25,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-15.541642748520012,-0.33164274852001085,-0.021804256970414913
AcNH2 ... Uracil,1.25,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-15.412067805794605,-0.20206780579460393,-0.0132851943323211
AcNH2 ... Uracil,1.25,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-15.51696720818131,-0.30696720818130885,-0.02018193347674614
AcNH2 ... Uracil,1.25,PBE,-14.02605719467449,1.1839428053255112,0.07783976366374169
AcNH2 ... Uracil,1.5,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-10.455204204963643,-0.22520420496364224,-0.02201409628188096
AcNH2 ... Uracil,1.5,PBE+MBD(scs),-10.486549536319721,-0.2565495363197208,-0.025078156042983458
AcNH2 ... Uracil,1.5,"PBE+MBD(vvpol,beta[0.8],17base)",-10.740983738524012,-0.5109837385240112,-0.049949534557576857
AcNH2 ... Uracil,1.5,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-10.474244501188856,-0.24424450118885588,-0.023875317809272323
AcNH2 ... Uracil,1.5,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-10.401530698371857,-0.17153069837185697,-0.016767419195684943
AcNH2 ... Uracil,1.5,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-10.451177137739023,-0.2211771377390228,-0.021620443571751986
AcNH2 ... Uracil,1.5,PBE,-9.444058290104964,0.7859417098950363,0.0768271466173056
AcNH2 ... Uracil,2.0,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-4.755627634603489,-0.105627634603489,-0.022715620344836342
AcNH2 ... Uracil,2.0,PBE+MBD(scs),-4.734058413400674,-0.08405841340067344,-0.01807707815068246
AcNH2 ... Uracil,2.0,"PBE+MBD(vvpol,beta[0.8],17base)",-4.803323801562509,-0.15332380156250824,-0.03297286055107704
AcNH2 ... Uracil,2.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-4.718221937619106,-0.06822193761910533,-0.0146713844342162
AcNH2 ... Uracil,2.0,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-4.688428719639606,-0.03842871963960537,-0.008264240782710831
AcNH2 ... Uracil,2.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-4.70665179517574,-0.05665179517573993,-0.01218318175822364
AcNH2 ... Uracil,2.0,PBE,-4.324962768161772,0.32503723183822864,0.06990047996521045
AcOH ... AcOH,0.9,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-18.78499817765634,-1.3349981776563418,-0.07650419356196801
AcOH ... AcOH,0.9,PBE+MBD(scs),-19.359191937388573,-1.9091919373885737,-0.10940928007957443
AcOH ... AcOH,0.9,"PBE+MBD(vvpol,beta[0.8],17base)",-19.88294062151837,-2.4329406215183695,-0.1394235313191043
AcOH ... AcOH,0.9,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-19.41898382076832,-1.9689838207683223,-0.11283574904116461
AcOH ... AcOH,0.9,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-19.13393070516627,-1.6839307051662722,-0.09650032694362591
AcOH ... AcOH,0.9,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-19.39999669062974,-1.9499966906297423,-0.11174766135413997
AcOH ... AcOH,0.9,PBE,-17.530136717501815,-0.08013671750181572,-0.004592362034488007
AcOH ... AcOH,0.95,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-19.9360424603914,-1.1460424603913992,-0.06099214797186798
AcOH ... AcOH,0.95,PBE+MBD(scs),-20.440959416622604,-1.6509594166226051,-0.08786372627049523
AcOH ... AcOH,0.95,"PBE+MBD(vvpol,beta[0.8],17base)",-20.965112515546718,-2.1751125155467186,-0.11575904819301323
AcOH ... AcOH,0.95,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-20.512944124380375,-1.7229441243803763,-0.09169473785951976
AcOH ... AcOH,0.95,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-20.25739430048053,-1.4673943004805317,-0.07809442791274783
AcOH ... AcOH,0.95,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-20.493754776837136,-1.7037547768371368,-0.0906734846640307
AcOH ... AcOH,0.95,PBE,-18.67754427444694,0.11245572555305827,0.00598487097142407
AcOH ... AcOH,1.0,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-20.073930961629056,-0.9839309616290564,-0.051541695213675034
AcOH ... AcOH,1.0,PBE+MBD(scs),-20.520451789129062,-1.4304517891290622,-0.07493199523986706
AcOH ... AcOH,1.0,"PBE+MBD(vvpol,beta[0.8],17base)",-21.037309569195838,-1.9473095691958378,-0.10200678728108108
AcOH ... AcOH,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-20.599189362903175,-1.5091893629031752,-0.07905654074924962
AcOH ... AcOH,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-20.371858251815212,-1.281858251815212,-0.06714815357858628
AcOH ... AcOH,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-20.57933794621406,-1.4893379462140608,-0.07801665511859932
AcOH ... AcOH,1.0,PBE,-18.825123283043485,0.2648767169565147,0.013875155419408838
AcOH ... AcOH,1.05,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-19.564474438321078,-0.8444744383210789,-0.04511081401287815
AcOH ... AcOH,1.05,PBE+MBD(scs),-19.959011227390565,-1.2390112273905665,-0.06618649718966702
AcOH ... AcOH,1.05,"PBE+MBD(vvpol,beta[0.8],17base)",-20.462444529340765,-1.7424445293407658,-0.09307930178102382
AcOH ... AcOH,1.05,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-20.040454527928166,-1.3204545279281668,-0.07053710085086361
AcOH ... AcOH,1.05,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-19.84012319988972,-1.120123199889722,-0.05983564101975011
AcOH ... AcOH,1.05,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-20.02124889588263,-1.3012488958826296,-0.0695111589680892
AcOH ... AcOH,1.05,PBE,-18.334895200080215,0.38510479991978386,0.02057183760255256
AcOH ... AcOH,1.1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-18.666787403718985,-0.7267874037189834,-0.04051211837898458
AcOH ... AcOH,1.1,PBE+MBD(scs),-19.01082328651579,-1.0708232865157896,-0.0596891464055624
AcOH ... AcOH,1.1,"PBE+MBD(vvpol,beta[0.8],17base)",-19.496058842009454,-1.5560588420094525,-0.08673683623241095
AcOH ... AcOH,1.1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-19.09192268302878,-1.1519226830287792,-0.06420973706960864
AcOH ... AcOH,1.1,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-18.915193656600227,-0.9751936566002257,-0.054358620769243346
AcOH ... AcOH,1.1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-19.073048285664388,-1.1330482856643869,-0.06315765248965367
AcOH ... AcOH,1.1,PBE,-17.460629250852016,0.4793707491479857,0.02672077754448081
AcOH ... AcOH,1.25,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-15.118167070259817,-0.5581670702598167,-0.038335650429932464
AcOH ... AcOH,1.25,PBE+MBD(scs),-15.294629702873358,-0.7346297028733577,-0.050455336735807536
AcOH ... AcOH,1.25,"PBE+MBD(vvpol,beta[0.8],17base)",-15.707074648024456,-1.1470746480244554,-0.07878259945222907
AcOH ... AcOH,1.25,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-15.36346361189324,-0.803463611893239,-0.0551829403772829
AcOH ... AcOH,1.25,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-15.234325783442133,-0.6743257834421321,-0.04631358402761896
AcOH ... AcOH,1.25,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-15.342629820982717,-0.7826298209827165,-0.05375204814441734
AcOH ... AcOH,1.25,PBE,-13.976488285520336,0.5835117144796644,0.040076354016460466
AcOH ... AcOH,1.5,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-9.646947232740732,-0.43694723274073155,-0.047442696280209716
AcOH ... AcOH,1.5,PBE+MBD(scs),-9.684473867035523,-0.4744738670355222,-0.05151724940667993
AcOH ... AcOH,1.5,"PBE+MBD(vvpol,beta[0.8],17base)",-9.961111128348435,-0.751111128348434,-0.08155386844174092
AcOH ... AcOH,1.5,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-9.723464900707999,-0.5134649007079979,-0.05575080355135698
AcOH ... AcOH,1.5,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-9.646159742900922,-0.4361597429009212,-0.047357192497385577
AcOH ... AcOH,1.5,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-9.703792061129162,-0.4937920611291613,-0.05361477319534867
AcOH ... AcOH,1.5,PBE,-8.74745844347196,0.4625415565280413,0.050221667375465934
AcOH ... AcOH,2.0,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-3.830286199914804,-0.24028619991480404,-0.06693208911275879
AcOH ... AcOH,2.0,PBE+MBD(scs),-3.783897636116597,-0.19389763611659694,-0.05401048359793787
AcOH ... AcOH,2.0,"PBE+MBD(vvpol,beta[0.8],17base)",-3.873997595609022,-0.28399759560902194,-0.0791079653507025
AcOH ... AcOH,2.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.793069538482219,-0.20306953848221898,-0.056565331053542896
AcOH ... AcOH,2.0,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-3.766309328919453,-0.17630932891945328,-0.049111233682298965
AcOH ... AcOH,2.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.78299271427976,-0.19299271427976006,-0.05375841623391645
AcOH ... AcOH,2.0,PBE,-3.4102423779315587,0.17975762206844115,0.0500717610218499
AcOH ... Uracil,0.9,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-18.85589271667026,-0.9558927166702631,-0.05340182774694208
AcOH ... Uracil,0.9,PBE+MBD(scs),-19.38563156124221,-1.4856315612422115,-0.08299617660571015
AcOH ... Uracil,0.9,"PBE+MBD(vvpol,beta[0.8],17base)",-19.913090277202343,-2.0130902772023447,-0.11246314397778463
AcOH ... Uracil,0.9,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-19.369781799360094,-1.4697817993600957,-0.08211071504805005
AcOH ... Uracil,0.9,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-19.089409554587665,-1.189409554587666,-0.06644746115014893
AcOH ... Uracil,0.9,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-19.345296935010822,-1.4452969350108233,-0.08074284553133092
AcOH ... Uracil,0.9,PBE,-17.23230143681392,0.6676985631860788,0.037301595708719486
AcOH ... Uracil,0.95,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-19.93530383968252,-0.7453038396825171,-0.03883813651289823
AcOH ... Uracil,0.95,PBE+MBD(scs),-20.40944771186748,-1.2194477118674776,-0.0635459985340009
AcOH ... Uracil,0.95,"PBE+MBD(vvpol,beta[0.8],17base)",-20.93646767118961,-1.7464676711896097,-0.09100925852994318
AcOH ... Uracil,0.95,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-20.411567928612193,-1.2215679286121919,-0.06365648403398602
AcOH ... Uracil,0.95,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-20.158253187045517,-0.9682531870455158,-0.050456132727749646
AcOH ... Uracil,0.95,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-20.3870316481944,-1.1970316481944003,-0.06237788682618031
AcOH ... Uracil,0.95,PBE,-18.351029070343884,0.8389709296561172,0.043719172988854464
AcOH ... Uracil,1.0,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-20.073794995630724,-0.5837949956307256,-0.029953565707066476
AcOH ... Uracil,1.0,PBE+MBD(scs),-20.501792654732057,-1.0117926547320586,-0.051913425076042005
AcOH ... Uracil,1.0,"PBE+MBD(vvpol,beta[0.8],17base)",-21.020558026235275,-1.5305580262352763,-0.07853042720550417
AcOH ... Uracil,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-20.51611349979463,-1.0261134997946328,-0.05264820419674874
AcOH ... Uracil,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-20.288794989502993,-0.7987949895029942,-0.04098486349425317
AcOH ... Uracil,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-20.491465464232235,-1.0014654642322363,-0.05138355383438873
AcOH ... Uracil,1.0,PBE,-18.53878848676583,0.951211513234167,0.04880510586116814
AcOH ... Uracil,1.05,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-19.608107464659057,-0.45810746465905794,-0.023922060817705378
AcOH ... Uracil,1.05,PBE+MBD(scs),-19.99158009767169,-0.8415800976716916,-0.043946741392777634
AcOH ... Uracil,1.05,"PBE+MBD(vvpol,beta[0.8],17base)",-20.495710305225856,-1.3457103052258574,-0.07027207860187246
AcOH ... Uracil,1.05,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-20.013602151298436,-0.8636021512984371,-0.0450967180834693
AcOH ... Uracil,1.05,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-19.81060289321738,-0.66060289321738,-0.03449623463276136
AcOH ... Uracil,1.05,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-19.989318204457756,-0.8393182044577578,-0.04382862686463488
AcOH ... Uracil,1.05,PBE,-18.125190495145038,1.0248095048549608,0.0535148566503896
