group,label,fragment,i_atom,species,hirsh_ratios,vv_ratios,alpha_0_free,alpha_0_vv_free,alpha_0_hirsh,alpha_0_rsscs,alpha_0_vv,alpha_0_vv[nm],alpha_0_vvcorr,C6_vv,C6_vv_nm,Rvdw_free,Rvdw_17_free,Rvdw_hirsh,Rvdw_vv17,Rvdw_vvcorr17,group
D,Benzene ... AcOH,fragment-1,3,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.1,8.16,30.7,30.56,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... AcOH,fragment-1,4,H,0.61,0.38,4.5,5.78,2.74,2.16,2.22,2.22,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... AcOH,fragment-1,5,C,0.81,0.68,12.0,11.96,9.77,8.82,8.14,8.1,8.16,30.72,30.56,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... AcOH,fragment-1,6,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... AcOH,fragment-1,7,C,0.81,0.68,12.0,11.96,9.77,8.82,8.14,8.11,8.16,30.72,30.59,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... AcOH,fragment-1,8,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... AcOH,fragment-1,9,C,0.81,0.68,12.0,11.96,9.77,8.82,8.14,8.11,8.16,30.72,30.58,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... AcOH,fragment-1,10,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... AcOH,fragment-1,11,C,0.81,0.68,12.0,11.96,9.77,8.82,8.14,8.11,8.16,30.72,30.57,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... AcOH,fragment-1,12,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... AcOH,fragment-2,1,C,0.82,0.57,12.0,11.96,9.88,10.38,6.8,6.79,6.82,22.74,22.7,3.59,3.57,3.36,3.29,3.29,D
D,Benzene ... AcOH,fragment-2,2,O,0.97,1.1,5.4,5.36,5.21,4.35,5.87,5.87,5.92,21.65,21.64,3.19,3.18,3.15,3.22,3.22,D
D,Benzene ... AcOH,fragment-2,3,O,0.88,1.03,5.4,5.36,4.76,4.32,5.52,5.52,5.56,19.81,19.81,3.19,3.18,3.06,3.19,3.19,D
D,Benzene ... AcOH,fragment-2,4,H,0.63,0.29,4.5,5.78,2.83,2.32,1.66,1.66,1.29,1.25,1.25,3.1,3.1,2.66,2.69,2.59,D
D,Benzene ... AcOH,fragment-2,5,C,0.76,0.63,12.0,11.96,9.06,10.02,7.5,7.5,7.52,28.2,28.2,3.59,3.57,3.27,3.33,3.34,D
D,Benzene ... AcOH,fragment-2,6,H,0.6,0.37,4.5,5.78,2.69,1.76,2.14,2.14,1.67,2.06,2.06,3.1,3.1,2.61,2.79,2.69,D
D,Benzene ... AcOH,fragment-2,7,H,0.59,0.37,4.5,5.78,2.65,1.84,2.13,2.13,1.66,2.06,2.06,3.1,3.1,2.6,2.78,2.69,D
D,Benzene ... AcOH,fragment-2,8,H,0.59,0.37,4.5,5.78,2.67,1.83,2.14,2.14,1.67,2.08,2.08,3.1,3.1,2.6,2.79,2.69,D
D,Benzene ... Benzene (TS),complex,1,C,0.81,0.68,12.0,11.96,9.76,8.82,8.19,8.11,8.22,30.75,30.58,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Benzene (TS),complex,2,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (TS),complex,3,C,0.81,0.68,12.0,11.96,9.76,8.81,8.19,8.11,8.22,30.74,30.59,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Benzene (TS),complex,4,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (TS),complex,5,C,0.81,0.68,12.0,11.96,9.76,8.81,8.19,8.11,8.22,30.72,30.57,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Benzene (TS),complex,6,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.22,1.74,2.2,2.19,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (TS),complex,7,C,0.81,0.69,12.0,11.96,9.76,8.81,8.2,8.11,8.23,30.74,30.57,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Benzene (TS),complex,8,H,0.61,0.39,4.5,5.78,2.74,2.16,2.24,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (TS),complex,9,C,0.81,0.69,12.0,11.96,9.76,8.81,8.2,8.12,8.23,30.75,30.61,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Benzene (TS),complex,10,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (TS),complex,11,C,0.81,0.69,12.0,11.96,9.76,8.81,8.2,8.12,8.23,30.75,30.6,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Benzene (TS),complex,12,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (TS),complex,13,C,0.81,0.68,12.0,11.96,9.77,8.81,8.16,8.11,8.18,30.67,30.53,3.59,3.57,3.35,3.37,3.38,D
D,Benzene ... Benzene (TS),complex,14,H,0.62,0.47,4.5,5.78,2.78,2.19,2.73,2.24,2.13,2.26,2.2,3.1,3.1,2.64,2.89,2.78,D
D,Benzene ... Benzene (TS),complex,15,C,0.81,0.68,12.0,11.96,9.77,8.81,8.16,8.11,8.19,30.71,30.57,3.59,3.57,3.35,3.37,3.38,D
D,Benzene ... Benzene (TS),complex,16,H,0.61,0.42,4.5,5.78,2.76,2.17,2.41,2.23,1.88,2.22,2.2,3.1,3.1,2.63,2.84,2.74,D
D,Benzene ... Benzene (TS),complex,17,C,0.81,0.68,12.0,11.96,9.77,8.83,8.14,8.11,8.16,30.74,30.59,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),complex,18,H,0.61,0.39,4.5,5.78,2.75,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (TS),complex,19,C,0.81,0.68,12.0,11.96,9.77,8.82,8.14,8.11,8.16,30.73,30.59,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),complex,20,H,0.61,0.39,4.5,5.78,2.75,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (TS),complex,21,C,0.81,0.68,12.0,11.96,9.77,8.83,8.14,8.11,8.16,30.74,30.61,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),complex,22,H,0.61,0.39,4.5,5.78,2.75,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (TS),complex,23,C,0.81,0.68,12.0,11.96,9.77,8.82,8.14,8.11,8.16,30.72,30.58,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),complex,24,H,0.61,0.39,4.5,5.78,2.75,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (TS),fragment-1,1,C,0.81,0.68,12.0,11.96,9.77,8.82,8.14,8.11,8.16,30.72,30.57,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),fragment-1,2,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (TS),fragment-1,3,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.11,8.16,30.71,30.59,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),fragment-1,4,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (TS),fragment-1,5,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.11,8.16,30.7,30.57,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),fragment-1,6,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (TS),fragment-1,7,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.1,8.16,30.71,30.56,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),fragment-1,8,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (TS),fragment-1,9,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.11,8.16,30.71,30.59,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),fragment-1,10,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (TS),fragment-1,11,C,0.81,0.68,12.0,11.96,9.77,8.82,8.14,8.11,8.16,30.72,30.59,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),fragment-1,12,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (TS),fragment-2,1,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.1,8.16,30.69,30.56,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),fragment-2,2,H,0.61,0.38,4.5,5.78,2.74,2.16,2.22,2.22,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (TS),fragment-2,3,C,0.81,0.68,12.0,11.96,9.77,8.81,8.13,8.11,8.16,30.71,30.58,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),fragment-2,4,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (TS),fragment-2,5,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.11,8.16,30.71,30.57,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),fragment-2,6,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (TS),fragment-2,7,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.11,8.16,30.7,30.56,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),fragment-2,8,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (TS),fragment-2,9,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.11,8.16,30.71,30.58,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),fragment-2,10,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (TS),fragment-2,11,C,0.81,0.68,12.0,11.96,9.77,8.82,8.14,8.11,8.16,30.72,30.57,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (TS),fragment-2,12,H,0.61,0.39,4.5,5.78,2.75,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (pi-pi),complex,1,C,0.81,0.69,12.0,11.96,9.77,8.81,8.22,8.11,8.25,30.71,30.56,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Benzene (pi-pi),complex,2,H,0.61,0.39,4.5,5.78,2.74,2.16,2.24,2.23,1.75,2.2,2.2,3.1,3.1,2.63,2.81,2.71,D
D,Benzene ... Benzene (pi-pi),complex,3,C,0.81,0.69,12.0,11.96,9.76,8.81,8.28,8.1,8.31,30.69,30.51,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Benzene (pi-pi),complex,4,H,0.61,0.39,4.5,5.78,2.74,2.16,2.26,2.22,1.76,2.2,2.19,3.1,3.1,2.63,2.81,2.71,D
D,Benzene ... Benzene (pi-pi),complex,5,C,0.81,0.68,12.0,11.96,9.77,8.81,8.18,8.1,8.21,30.71,30.53,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Benzene (pi-pi),complex,6,H,0.61,0.39,4.5,5.78,2.74,2.16,2.24,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.81,2.71,D
D,Benzene ... Benzene (pi-pi),complex,7,C,0.81,0.68,12.0,11.96,9.77,8.82,8.15,8.11,8.17,30.73,30.6,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),complex,8,H,0.61,0.39,4.5,5.78,2.75,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (pi-pi),complex,9,C,0.81,0.68,12.0,11.96,9.77,8.82,8.14,8.11,8.16,30.73,30.59,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),complex,10,H,0.61,0.39,4.5,5.78,2.75,2.17,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (pi-pi),complex,11,C,0.81,0.68,12.0,11.96,9.77,8.82,8.15,8.11,8.18,30.72,30.56,3.59,3.57,3.35,3.37,3.38,D
D,Benzene ... Benzene (pi-pi),complex,12,H,0.61,0.39,4.5,5.78,2.75,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (pi-pi),complex,13,C,0.81,0.68,12.0,11.96,9.77,8.82,8.15,8.11,8.17,30.73,30.6,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),complex,14,H,0.61,0.39,4.5,5.78,2.75,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (pi-pi),complex,15,C,0.81,0.68,12.0,11.96,9.77,8.82,8.14,8.11,8.16,30.73,30.59,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),complex,16,H,0.61,0.39,4.5,5.78,2.75,2.17,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (pi-pi),complex,17,C,0.81,0.68,12.0,11.96,9.77,8.82,8.15,8.11,8.18,30.72,30.56,3.59,3.57,3.35,3.37,3.38,D
D,Benzene ... Benzene (pi-pi),complex,18,H,0.61,0.39,4.5,5.78,2.75,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Benzene (pi-pi),complex,19,C,0.81,0.69,12.0,11.96,9.77,8.81,8.22,8.11,8.25,30.71,30.56,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Benzene (pi-pi),complex,20,H,0.61,0.39,4.5,5.78,2.74,2.16,2.24,2.23,1.75,2.2,2.2,3.1,3.1,2.63,2.81,2.71,D
D,Benzene ... Benzene (pi-pi),complex,21,C,0.81,0.69,12.0,11.96,9.76,8.81,8.28,8.1,8.31,30.69,30.51,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Benzene (pi-pi),complex,22,H,0.61,0.39,4.5,5.78,2.74,2.16,2.26,2.22,1.76,2.2,2.19,3.1,3.1,2.63,2.81,2.71,D
D,Benzene ... Benzene (pi-pi),complex,23,C,0.81,0.68,12.0,11.96,9.77,8.81,8.18,8.1,8.21,30.7,30.53,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Benzene (pi-pi),complex,24,H,0.61,0.39,4.5,5.78,2.74,2.16,2.24,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.81,2.71,D
D,Benzene ... Benzene (pi-pi),fragment-1,1,C,0.81,0.68,12.0,11.96,9.77,8.81,8.13,8.11,8.16,30.69,30.57,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),fragment-1,2,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (pi-pi),fragment-1,3,C,0.81,0.68,12.0,11.96,9.77,8.81,8.13,8.1,8.15,30.67,30.54,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),fragment-1,4,H,0.61,0.39,4.5,5.78,2.74,2.16,2.22,2.22,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (pi-pi),fragment-1,5,C,0.81,0.68,12.0,11.96,9.77,8.81,8.13,8.1,8.16,30.69,30.54,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),fragment-1,6,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (pi-pi),fragment-1,7,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.11,8.16,30.71,30.58,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),fragment-1,8,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (pi-pi),fragment-1,9,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.11,8.16,30.7,30.56,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),fragment-1,10,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (pi-pi),fragment-1,11,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.1,8.16,30.7,30.55,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),fragment-1,12,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (pi-pi),fragment-2,1,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.11,8.16,30.71,30.58,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),fragment-2,2,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (pi-pi),fragment-2,3,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.11,8.16,30.7,30.57,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),fragment-2,4,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (pi-pi),fragment-2,5,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.1,8.16,30.7,30.55,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),fragment-2,6,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (pi-pi),fragment-2,7,C,0.81,0.68,12.0,11.96,9.77,8.81,8.13,8.11,8.16,30.69,30.57,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),fragment-2,8,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (pi-pi),fragment-2,9,C,0.81,0.68,12.0,11.96,9.77,8.81,8.13,8.1,8.15,30.67,30.54,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),fragment-2,10,H,0.61,0.39,4.5,5.78,2.74,2.16,2.22,2.22,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Benzene (pi-pi),fragment-2,11,C,0.81,0.68,12.0,11.96,9.77,8.81,8.13,8.1,8.16,30.69,30.54,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... Benzene (pi-pi),fragment-2,12,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Cyclopentane,complex,1,C,0.81,0.69,12.0,11.96,9.76,8.81,8.28,8.12,8.3,30.79,30.58,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Cyclopentane,complex,2,H,0.61,0.39,4.5,5.78,2.74,2.16,2.28,2.23,1.77,2.21,2.2,3.1,3.1,2.63,2.81,2.71,D
D,Benzene ... Cyclopentane,complex,3,C,0.81,0.69,12.0,11.96,9.76,8.81,8.26,8.11,8.29,30.76,30.59,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Cyclopentane,complex,4,H,0.61,0.39,4.5,5.78,2.74,2.16,2.25,2.23,1.75,2.2,2.2,3.1,3.1,2.63,2.81,2.71,D
D,Benzene ... Cyclopentane,complex,5,C,0.81,0.68,12.0,11.96,9.76,8.81,8.18,8.11,8.2,30.73,30.57,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Cyclopentane,complex,6,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Cyclopentane,complex,7,C,0.81,0.68,12.0,11.96,9.77,8.82,8.17,8.11,8.19,30.72,30.56,3.59,3.57,3.35,3.37,3.38,D
D,Benzene ... Cyclopentane,complex,8,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Cyclopentane,complex,9,C,0.81,0.68,12.0,11.96,9.77,8.82,8.17,8.11,8.2,30.73,30.58,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Cyclopentane,complex,10,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... Cyclopentane,complex,11,C,0.81,0.69,12.0,11.96,9.77,8.82,8.21,8.11,8.23,30.75,30.59,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... Cyclopentane,complex,12,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... Cyclopentane,complex,13,C,0.79,0.65,12.0,11.96,9.52,9.13,7.76,7.73,7.79,29.2,29.02,3.59,3.57,3.32,3.35,3.35,D
D,Benzene ... Cyclopentane,complex,14,H,0.63,0.49,4.5,5.78,2.83,1.82,2.82,2.39,2.2,2.45,2.39,3.1,3.1,2.66,2.9,2.8,D
