label,fragment,i_atom,species,hirsh_ratios,vv_ratios,alpha_0_free,alpha_0_vv_free,alpha_0_hirsh,alpha_0_rsscs,alpha_0_vv,alpha_0_vv[nm],alpha_0_vvcorr,Rvdw_free,Rvdw_17_free,Rvdw_hirsh,Rvdw_vv17,Rvdw_vvcorr17
14-cyclohexanedione,crystal,22,N,0.89,1.05,7.4,7.81,6.59,6.64,8.23,8.14,7.79,3.34,3.33,3.21,3.38,3.35
14-cyclohexanedione,molecule,1,H,0.65,0.43,4.5,5.78,2.94,2.0,2.51,2.5,1.95,3.1,3.1,2.69,2.85,2.75
14-cyclohexanedione,molecule,2,H,0.65,0.43,4.5,5.78,2.94,2.0,2.51,2.5,1.95,3.1,3.1,2.69,2.85,2.75
14-cyclohexanedione,molecule,3,H,0.65,0.43,4.5,5.78,2.94,2.0,2.51,2.5,1.95,3.1,3.1,2.69,2.85,2.75
14-cyclohexanedione,molecule,4,H,0.65,0.43,4.5,5.78,2.94,2.0,2.51,2.5,1.95,3.1,3.1,2.69,2.85,2.75
14-cyclohexanedione,molecule,5,H,0.65,0.43,4.5,5.78,2.94,2.0,2.51,2.5,1.95,3.1,3.1,2.69,2.85,2.75
14-cyclohexanedione,molecule,6,H,0.65,0.43,4.5,5.78,2.94,2.0,2.51,2.5,1.95,3.1,3.1,2.69,2.85,2.75
14-cyclohexanedione,molecule,7,H,0.65,0.43,4.5,5.78,2.94,2.0,2.51,2.5,1.95,3.1,3.1,2.69,2.85,2.75
14-cyclohexanedione,molecule,8,H,0.65,0.43,4.5,5.78,2.94,2.0,2.51,2.5,1.95,3.1,3.1,2.69,2.85,2.75
14-cyclohexanedione,molecule,9,H,0.65,0.43,4.5,5.78,2.94,2.0,2.51,2.5,1.95,3.1,3.1,2.69,2.85,2.75
14-cyclohexanedione,molecule,10,H,0.65,0.43,4.5,5.78,2.94,2.0,2.51,2.5,1.95,3.1,3.1,2.69,2.85,2.75
14-cyclohexanedione,molecule,11,H,0.65,0.43,4.5,5.78,2.94,2.0,2.51,2.5,1.95,3.1,3.1,2.69,2.85,2.75
14-cyclohexanedione,molecule,12,H,0.65,0.43,4.5,5.78,2.94,2.0,2.51,2.5,1.95,3.1,3.1,2.69,2.85,2.75
14-cyclohexanedione,molecule,13,C,0.83,0.65,12.0,11.96,9.94,9.32,7.74,7.68,7.76,3.59,3.57,3.37,3.35,3.35
14-cyclohexanedione,molecule,14,C,0.83,0.65,12.0,11.96,9.94,9.32,7.73,7.69,7.76,3.59,3.57,3.37,3.35,3.35
14-cyclohexanedione,molecule,15,C,0.83,0.65,12.0,11.96,9.94,9.32,7.74,7.68,7.76,3.59,3.57,3.37,3.35,3.35
14-cyclohexanedione,molecule,16,C,0.83,0.65,12.0,11.96,9.94,9.32,7.73,7.68,7.76,3.59,3.57,3.37,3.35,3.35
14-cyclohexanedione,molecule,17,C,0.83,0.65,12.0,11.96,9.94,9.32,7.74,7.68,7.76,3.59,3.57,3.37,3.35,3.35
14-cyclohexanedione,molecule,18,C,0.83,0.65,12.0,11.96,9.94,9.32,7.73,7.68,7.76,3.59,3.57,3.37,3.35,3.35
14-cyclohexanedione,molecule,19,N,0.9,0.94,7.4,7.81,6.69,5.38,7.31,7.27,6.93,3.34,3.33,3.23,3.32,3.3
14-cyclohexanedione,molecule,20,N,0.9,0.94,7.4,7.81,6.69,5.38,7.31,7.26,6.93,3.34,3.33,3.23,3.32,3.3
14-cyclohexanedione,molecule,21,N,0.9,0.94,7.4,7.81,6.69,5.38,7.31,7.26,6.93,3.34,3.33,3.23,3.32,3.3
14-cyclohexanedione,molecule,22,N,0.9,0.94,7.4,7.81,6.69,5.38,7.31,7.26,6.93,3.34,3.33,3.23,3.32,3.3
Acetic acid,crystal,1,H,0.78,0.66,4.5,5.78,3.52,3.5,3.79,3.77,2.95,3.1,3.1,2.86,3.02,2.92
Acetic acid,crystal,2,H,0.78,0.66,4.5,5.78,3.52,3.15,3.79,3.77,2.95,3.1,3.1,2.86,3.02,2.92
Acetic acid,crystal,3,H,0.78,0.66,4.5,5.78,3.52,3.62,3.79,3.77,2.95,3.1,3.1,2.86,3.02,2.92
Acetic acid,crystal,4,H,0.78,0.66,4.5,5.78,3.52,3.46,3.79,3.77,2.95,3.1,3.1,2.86,3.02,2.92
Acetic acid,crystal,5,H,0.75,0.78,4.5,5.78,3.39,3.39,4.51,4.44,3.52,3.1,3.1,2.82,3.1,2.99
Acetic acid,crystal,6,H,0.75,0.78,4.5,5.78,3.39,3.41,4.51,4.44,3.52,3.1,3.1,2.82,3.1,2.99
Acetic acid,crystal,7,H,0.75,0.78,4.5,5.78,3.39,2.3,4.51,4.44,3.52,3.1,3.1,2.82,3.1,2.99
Acetic acid,crystal,8,H,0.74,0.8,4.5,5.78,3.31,2.38,4.61,4.61,3.59,3.1,3.1,2.8,3.11,3.0
Acetic acid,crystal,9,H,0.74,0.8,4.5,5.78,3.31,3.32,4.61,4.61,3.59,3.1,3.1,2.8,3.11,3.0
Acetic acid,crystal,10,H,0.74,0.8,4.5,5.78,3.31,3.31,4.61,4.61,3.59,3.1,3.1,2.8,3.11,3.0
Acetic acid,crystal,11,H,0.74,0.8,4.5,5.78,3.31,2.35,4.61,4.61,3.59,3.1,3.1,2.8,3.11,3.0
Acetic acid,crystal,12,H,0.74,0.79,4.5,5.78,3.31,2.37,4.55,4.55,3.54,3.1,3.1,2.8,3.1,2.99
Acetic acid,crystal,13,H,0.74,0.79,4.5,5.78,3.31,2.37,4.55,4.55,3.54,3.1,3.1,2.8,3.1,2.99
Acetic acid,crystal,14,H,0.74,0.79,4.5,5.78,3.31,2.35,4.55,4.55,3.54,3.1,3.1,2.8,3.1,2.99
Acetic acid,crystal,15,H,0.74,0.79,4.5,5.78,3.31,3.31,4.55,4.55,3.54,3.1,3.1,2.8,3.1,2.99
Acetic acid,crystal,16,H,0.75,0.78,4.5,5.78,3.39,2.3,4.51,4.44,3.52,3.1,3.1,2.82,3.1,2.99
Acetic acid,crystal,17,C,0.83,0.75,12.0,11.96,10.01,10.58,8.94,8.93,8.97,3.59,3.57,3.38,3.42,3.42
Acetic acid,crystal,18,C,0.83,0.75,12.0,11.96,10.01,10.7,8.94,8.93,8.97,3.59,3.57,3.38,3.42,3.42
Acetic acid,crystal,19,C,0.83,0.75,12.0,11.96,10.01,10.41,8.94,8.93,8.97,3.59,3.57,3.38,3.42,3.42
Acetic acid,crystal,20,C,0.83,0.75,12.0,11.96,10.01,10.67,8.94,8.93,8.97,3.59,3.57,3.38,3.42,3.42
Acetic acid,crystal,21,C,0.82,0.83,12.0,11.96,9.79,9.87,9.9,9.9,9.93,3.59,3.57,3.36,3.47,3.47
Acetic acid,crystal,22,C,0.82,0.83,12.0,11.96,9.79,9.91,9.9,9.9,9.93,3.59,3.57,3.36,3.47,3.47
Acetic acid,crystal,23,C,0.82,0.83,12.0,11.96,9.79,10.12,9.9,9.9,9.93,3.59,3.57,3.36,3.47,3.47
Acetic acid,crystal,24,C,0.82,0.83,12.0,11.96,9.79,10.35,9.9,9.9,9.93,3.59,3.57,3.36,3.47,3.47
Acetic acid,crystal,25,O,0.87,1.35,5.4,5.36,4.71,4.24,7.25,7.25,7.3,3.19,3.18,3.05,3.32,3.32
Acetic acid,crystal,26,O,0.87,1.35,5.4,5.36,4.71,4.27,7.25,7.25,7.3,3.19,3.18,3.05,3.32,3.32
Acetic acid,crystal,27,O,0.87,1.35,5.4,5.36,4.71,4.25,7.25,7.25,7.3,3.19,3.18,3.05,3.32,3.32
Acetic acid,crystal,28,O,0.87,1.35,5.4,5.36,4.71,4.8,7.25,7.25,7.3,3.19,3.18,3.05,3.32,3.32
Acetic acid,crystal,29,O,0.89,1.43,5.4,5.36,4.82,5.12,7.68,7.64,7.74,3.19,3.18,3.07,3.35,3.35
Acetic acid,crystal,30,O,0.89,1.43,5.4,5.36,4.82,4.29,7.68,7.64,7.74,3.19,3.18,3.07,3.35,3.35
Acetic acid,crystal,31,O,0.89,1.43,5.4,5.36,4.82,4.17,7.68,7.64,7.74,3.19,3.18,3.07,3.35,3.35
Acetic acid,crystal,32,O,0.89,1.43,5.4,5.36,4.82,3.83,7.68,7.64,7.74,3.19,3.18,3.07,3.35,3.35
Acetic acid,molecule,1,H,0.6,0.38,4.5,5.78,2.7,1.78,2.17,2.17,1.69,3.1,3.1,2.61,2.79,2.69
Acetic acid,molecule,2,H,0.59,0.37,4.5,5.78,2.66,1.86,2.16,2.16,1.68,3.1,3.1,2.6,2.79,2.69
Acetic acid,molecule,3,H,0.59,0.38,4.5,5.78,2.67,1.86,2.17,2.17,1.69,3.1,3.1,2.61,2.79,2.7
Acetic acid,molecule,4,H,0.63,0.29,4.5,5.78,2.83,2.33,1.67,1.67,1.3,3.1,3.1,2.66,2.69,2.59
Acetic acid,molecule,5,C,0.76,0.64,12.0,11.96,9.11,10.1,7.6,7.6,7.63,3.59,3.57,3.27,3.34,3.34
Acetic acid,molecule,6,C,0.83,0.58,12.0,11.96,9.91,10.43,6.88,6.88,6.9,3.59,3.57,3.37,3.29,3.29
Acetic acid,molecule,7,O,0.97,1.1,5.4,5.36,5.22,4.35,5.88,5.88,5.92,3.19,3.18,3.15,3.22,3.22
Acetic acid,molecule,8,O,0.88,1.04,5.4,5.36,4.77,4.36,5.56,5.56,5.6,3.19,3.18,3.06,3.19,3.2
Adamantane,crystal,1,H,0.73,0.76,4.5,5.78,3.3,2.28,4.4,4.39,3.43,3.1,3.1,2.8,3.09,2.98
Adamantane,crystal,2,H,0.73,0.76,4.5,5.78,3.3,3.28,4.4,4.39,3.43,3.1,3.1,2.8,3.09,2.98
Adamantane,crystal,3,H,0.73,0.76,4.5,5.78,3.3,3.26,4.4,4.39,3.43,3.1,3.1,2.8,3.09,2.98
Adamantane,crystal,4,H,0.73,0.76,4.5,5.78,3.3,3.31,4.4,4.39,3.43,3.1,3.1,2.8,3.09,2.98
Adamantane,crystal,5,H,0.73,0.76,4.5,5.78,3.3,2.15,4.4,4.39,3.43,3.1,3.1,2.8,3.09,2.98
Adamantane,crystal,6,H,0.73,0.76,4.5,5.78,3.3,2.35,4.4,4.39,3.43,3.1,3.1,2.8,3.09,2.98
Adamantane,crystal,7,H,0.73,0.76,4.5,5.78,3.3,2.04,4.4,4.39,3.43,3.1,3.1,2.8,3.09,2.98
Adamantane,crystal,8,H,0.73,0.76,4.5,5.78,3.3,2.36,4.4,4.39,3.43,3.1,3.1,2.8,3.09,2.98
Adamantane,crystal,9,H,0.73,0.79,4.5,5.78,3.3,2.32,4.58,4.57,3.57,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,10,H,0.73,0.79,4.5,5.78,3.3,2.33,4.58,4.57,3.57,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,11,H,0.73,0.79,4.5,5.78,3.3,2.35,4.58,4.57,3.57,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,12,H,0.73,0.79,4.5,5.78,3.3,2.37,4.58,4.57,3.57,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,13,H,0.73,0.79,4.5,5.78,3.3,2.04,4.58,4.58,3.57,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,14,H,0.73,0.79,4.5,5.78,3.3,2.04,4.58,4.57,3.57,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,15,H,0.73,0.79,4.5,5.78,3.3,2.09,4.58,4.58,3.57,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,16,H,0.73,0.79,4.5,5.78,3.3,3.15,4.58,4.57,3.57,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,17,H,0.73,0.77,4.5,5.78,3.29,2.29,4.44,4.43,3.46,3.1,3.1,2.79,3.09,2.98
Adamantane,crystal,18,H,0.73,0.77,4.5,5.78,3.29,2.36,4.44,4.43,3.46,3.1,3.1,2.79,3.09,2.98
Adamantane,crystal,19,H,0.73,0.77,4.5,5.78,3.29,2.36,4.44,4.43,3.46,3.1,3.1,2.79,3.09,2.98
Adamantane,crystal,20,H,0.73,0.77,4.5,5.78,3.29,3.31,4.44,4.43,3.46,3.1,3.1,2.79,3.09,2.98
Adamantane,crystal,21,H,0.73,0.77,4.5,5.78,3.29,2.13,4.44,4.43,3.46,3.1,3.1,2.79,3.09,2.98
Adamantane,crystal,22,H,0.73,0.77,4.5,5.78,3.29,2.04,4.44,4.43,3.46,3.1,3.1,2.79,3.09,2.98
Adamantane,crystal,23,H,0.73,0.77,4.5,5.78,3.29,2.32,4.44,4.43,3.46,3.1,3.1,2.79,3.09,2.98
Adamantane,crystal,24,H,0.73,0.77,4.5,5.78,3.29,2.33,4.44,4.43,3.46,3.1,3.1,2.79,3.09,2.98
Adamantane,crystal,25,H,0.73,0.8,4.5,5.78,3.3,3.2,4.61,4.61,3.59,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,26,H,0.73,0.8,4.5,5.78,3.3,3.29,4.61,4.61,3.59,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,27,H,0.73,0.8,4.5,5.78,3.3,3.28,4.61,4.61,3.59,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,28,H,0.73,0.8,4.5,5.78,3.3,2.31,4.61,4.61,3.59,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,29,H,0.73,0.8,4.5,5.78,3.3,2.06,4.61,4.61,3.59,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,30,H,0.73,0.8,4.5,5.78,3.3,2.11,4.61,4.61,3.59,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,31,H,0.73,0.8,4.5,5.78,3.3,2.33,4.61,4.61,3.59,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,32,H,0.73,0.8,4.5,5.78,3.3,2.32,4.61,4.61,3.59,3.1,3.1,2.8,3.11,3.0
Adamantane,crystal,33,C,0.84,0.78,12.0,11.96,10.05,10.05,9.29,9.26,9.32,3.59,3.57,3.38,3.44,3.44
Adamantane,crystal,34,C,0.84,0.78,12.0,11.96,10.05,9.85,9.29,9.26,9.32,3.59,3.57,3.38,3.44,3.44
Adamantane,crystal,35,C,0.84,0.78,12.0,11.96,10.05,9.33,9.3,9.26,9.32,3.59,3.57,3.38,3.44,3.44
Adamantane,crystal,36,C,0.84,0.78,12.0,11.96,10.05,8.9,9.29,9.26,9.32,3.59,3.57,3.38,3.44,3.44
Adamantane,crystal,37,C,0.85,0.74,12.0,11.96,10.22,10.25,8.87,8.82,8.9,3.59,3.57,3.4,3.41,3.42
Adamantane,crystal,38,C,0.85,0.74,12.0,11.96,10.22,10.22,8.87,8.82,8.9,3.59,3.57,3.4,3.41,3.42
Adamantane,crystal,39,C,0.85,0.74,12.0,11.96,10.22,10.28,8.87,8.82,8.9,3.59,3.57,3.4,3.41,3.42
Adamantane,crystal,40,C,0.85,0.74,12.0,11.96,10.22,10.28,8.87,8.82,8.9,3.59,3.57,3.4,3.41,3.42
Adamantane,crystal,41,C,0.85,0.74,12.0,11.96,10.22,9.78,8.87,8.82,8.9,3.59,3.57,3.4,3.41,3.42
Adamantane,crystal,42,C,0.85,0.74,12.0,11.96,10.22,9.76,8.87,8.82,8.9,3.59,3.57,3.4,3.41,3.42
Adamantane,crystal,43,C,0.85,0.74,12.0,11.96,10.22,9.76,8.87,8.82,8.9,3.59,3.57,3.4,3.41,3.42
Adamantane,crystal,44,C,0.85,0.74,12.0,11.96,10.22,10.22,8.87,8.82,8.9,3.59,3.57,3.4,3.41,3.42
Adamantane,crystal,45,C,0.84,0.78,12.0,11.96,10.05,10.07,9.31,9.28,9.34,3.59,3.57,3.38,3.44,3.44
Adamantane,crystal,46,C,0.84,0.78,12.0,11.96,10.05,10.05,9.31,9.28,9.34,3.59,3.57,3.38,3.44,3.44
Adamantane,crystal,47,C,0.84,0.78,12.0,11.96,10.05,10.04,9.31,9.28,9.34,3.59,3.57,3.38,3.44,3.44
Adamantane,crystal,48,C,0.84,0.78,12.0,11.96,10.05,10.02,9.31,9.28,9.34,3.59,3.57,3.38,3.44,3.44
Adamantane,crystal,49,C,0.84,0.78,12.0,11.96,10.05,9.2,9.31,9.28,9.34,3.59,3.57,3.38,3.44,3.44
Adamantane,crystal,50,C,0.84,0.78,12.0,11.96,10.05,9.24,9.31,9.28,9.34,3.59,3.57,3.38,3.44,3.44
Adamantane,crystal,51,C,0.84,0.78,12.0,11.96,10.05,8.82,9.31,9.28,9.34,3.59,3.57,3.38,3.44,3.44
Adamantane,crystal,52,C,0.84,0.78,12.0,11.96,10.05,8.79,9.31,9.28,9.34,3.59,3.57,3.38,3.44,3.44
Adamantane,molecule,1,H,0.64,0.45,4.5,5.78,2.9,1.94,2.62,2.62,2.04,3.1,3.1,2.68,2.87,2.77
Adamantane,molecule,2,H,0.65,0.45,4.5,5.78,2.9,1.94,2.62,2.62,2.04,3.1,3.1,2.68,2.87,2.77
Adamantane,molecule,3,H,0.64,0.45,4.5,5.78,2.9,1.94,2.62,2.62,2.04,3.1,3.1,2.68,2.87,2.77
Adamantane,molecule,4,H,0.64,0.45,4.5,5.78,2.9,1.94,2.62,2.61,2.04,3.1,3.1,2.68,2.87,2.77
Adamantane,molecule,5,H,0.63,0.41,4.5,5.78,2.85,1.82,2.38,2.38,1.85,3.1,3.1,2.66,2.83,2.73
Adamantane,molecule,6,H,0.63,0.41,4.5,5.78,2.85,1.82,2.38,2.38,1.85,3.1,3.1,2.66,2.83,2.73
Adamantane,molecule,7,H,0.63,0.41,4.5,5.78,2.85,1.82,2.38,2.38,1.85,3.1,3.1,2.66,2.83,2.73
Adamantane,molecule,8,H,0.64,0.45,4.5,5.78,2.9,1.94,2.62,2.61,2.04,3.1,3.1,2.68,2.87,2.77
Adamantane,molecule,9,H,0.65,0.45,4.5,5.78,2.9,1.94,2.62,2.62,2.04,3.1,3.1,2.68,2.87,2.77
Adamantane,molecule,10,H,0.65,0.45,4.5,5.78,2.9,1.94,2.62,2.62,2.04,3.1,3.1,2.68,2.87,2.77
Adamantane,molecule,11,H,0.64,0.45,4.5,5.78,2.9,1.94,2.62,2.62,2.04,3.1,3.1,2.68,2.87,2.77
Adamantane,molecule,12,H,0.64,0.45,4.5,5.78,2.9,1.94,2.62,2.62,2.04,3.1,3.1,2.68,2.87,2.77
Adamantane,molecule,13,H,0.64,0.45,4.5,5.78,2.9,1.94,2.62,2.62,2.04,3.1,3.1,2.68,2.87,2.77
Adamantane,molecule,14,H,0.64,0.45,4.5,5.78,2.9,1.94,2.62,2.62,2.04,3.1,3.1,2.68,2.87,2.77
Adamantane,molecule,15,H,0.64,0.45,4.5,5.78,2.9,1.94,2.62,2.62,2.04,3.1,3.1,2.68,2.87,2.77
Adamantane,molecule,16,H,0.63,0.41,4.5,5.78,2.85,1.82,2.38,2.38,1.85,3.1,3.1,2.66,2.83,2.73
Adamantane,molecule,17,C,0.82,0.68,12.0,11.96,9.8,8.7,8.19,8.15,8.21,3.59,3.57,3.36,3.38,3.38
Adamantane,molecule,18,C,0.82,0.68,12.0,11.96,9.8,8.7,8.18,8.15,8.21,3.59,3.57,3.36,3.38,3.38
Adamantane,molecule,19,C,0.83,0.67,12.0,11.96,10.02,8.97,8.03,7.98,8.05,3.59,3.57,3.38,3.37,3.37
Adamantane,molecule,20,C,0.83,0.67,12.0,11.96,10.02,8.97,8.03,7.98,8.05,3.59,3.57,3.38,3.37,3.37
Adamantane,molecule,21,C,0.83,0.67,12.0,11.96,10.02,8.97,8.03,7.98,8.05,3.59,3.57,3.38,3.37,3.37
Adamantane,molecule,22,C,0.82,0.68,12.0,11.96,9.8,8.7,8.18,8.15,8.21,3.59,3.57,3.36,3.38,3.38
Adamantane,molecule,23,C,0.82,0.68,12.0,11.96,9.8,8.7,8.18,8.15,8.21,3.59,3.57,3.36,3.38,3.38
Adamantane,molecule,24,C,0.82,0.68,12.0,11.96,9.8,8.7,8.18,8.15,8.21,3.59,3.57,3.36,3.38,3.38
Adamantane,molecule,25,C,0.82,0.68,12.0,11.96,9.8,8.71,8.19,8.15,8.21,3.59,3.57,3.36,3.38,3.38
Adamantane,molecule,26,C,0.83,0.67,12.0,11.96,10.02,8.97,8.03,7.98,8.05,3.59,3.57,3.38,3.37,3.37
Ammonia,crystal,1,H,0.73,0.77,4.5,5.78,3.3,2.76,4.43,4.18,3.45,3.1,3.1,2.8,3.09,2.98
Ammonia,crystal,2,H,0.73,0.77,4.5,5.78,3.3,2.76,4.43,4.18,3.45,3.1,3.1,2.8,3.09,2.98
Ammonia,crystal,3,H,0.73,0.77,4.5,5.78,3.3,2.76,4.43,4.18,3.45,3.1,3.1,2.8,3.09,2.98
Ammonia,crystal,4,H,0.73,0.77,4.5,5.78,3.3,2.82,4.43,4.18,3.45,3.1,3.1,2.8,3.09,2.98
Ammonia,crystal,5,H,0.73,0.77,4.5,5.78,3.3,2.7,4.43,4.18,3.45,3.1,3.1,2.8,3.09,2.98
Ammonia,crystal,6,H,0.73,0.77,4.5,5.78,3.3,2.75,4.43,4.18,3.45,3.1,3.1,2.8,3.09,2.98
Ammonia,crystal,7,H,0.73,0.77,4.5,5.78,3.3,2.75,4.43,4.18,3.45,3.1,3.1,2.8,3.09,2.98
Ammonia,crystal,8,H,0.73,0.77,4.5,5.78,3.3,2.82,4.43,4.18,3.45,3.1,3.1,2.8,3.09,2.98
Ammonia,crystal,9,H,0.73,0.77,4.5,5.78,3.3,2.7,4.43,4.18,3.45,3.1,3.1,2.8,3.09,2.98
Ammonia,crystal,10,H,0.73,0.77,4.5,5.78,3.3,2.75,4.43,4.18,3.45,3.1,3.1,2.8,3.09,2.98
Ammonia,crystal,11,H,0.73,0.77,4.5,5.78,3.3,2.82,4.43,4.18,3.45,3.1,3.1,2.8,3.09,2.98
Ammonia,crystal,12,H,0.73,0.77,4.5,5.78,3.3,2.7,4.43,4.18,3.45,3.1,3.1,2.8,3.09,2.98
Ammonia,crystal,13,N,0.84,1.19,7.4,7.81,6.19,5.95,9.31,9.08,8.82,3.34,3.33,3.15,3.44,3.41
Ammonia,crystal,14,N,0.84,1.19,7.4,7.81,6.19,6.2,9.31,9.08,8.82,3.34,3.33,3.15,3.44,3.41
Ammonia,crystal,15,N,0.84,1.19,7.4,7.81,6.19,6.2,9.31,9.08,8.82,3.34,3.33,3.15,3.44,3.41
Ammonia,crystal,16,N,0.84,1.19,7.4,7.81,6.19,6.2,9.31,9.08,8.82,3.34,3.33,3.15,3.44,3.41
Ammonia,molecule,1,H,0.61,0.33,4.5,5.78,2.73,2.21,1.93,1.93,1.5,3.1,3.1,2.62,2.75,2.65
Ammonia,molecule,2,H,0.61,0.33,4.5,5.78,2.73,2.21,1.93,1.93,1.5,3.1,3.1,2.62,2.75,2.65
Ammonia,molecule,3,H,0.61,0.33,4.5,5.78,2.73,2.21,1.93,1.93,1.5,3.1,3.1,2.62,2.75,2.65
Ammonia,molecule,4,N,0.86,0.92,7.4,7.81,6.34,6.38,7.17,7.17,6.79,3.34,3.33,3.17,3.31,3.29
Anthracene,crystal,1,H,0.73,0.86,4.5,5.78,3.27,2.44,4.99,4.98,3.88,3.1,3.1,2.79,3.14,3.03
Anthracene,crystal,2,H,0.73,0.86,4.5,5.78,3.27,2.54,4.99,4.98,3.88,3.1,3.1,2.79,3.14,3.03
Anthracene,crystal,3,H,0.73,0.86,4.5,5.78,3.27,2.44,4.99,4.98,3.88,3.1,3.1,2.79,3.14,3.03
Anthracene,crystal,4,H,0.73,0.86,4.5,5.78,3.27,2.54,4.99,4.98,3.88,3.1,3.1,2.79,3.14,3.03
Anthracene,crystal,5,H,0.74,0.88,4.5,5.78,3.31,2.0,5.08,5.08,3.96,3.1,3.1,2.8,3.15,3.04
Anthracene,crystal,6,H,0.74,0.88,4.5,5.78,3.31,2.36,5.08,5.08,3.96,3.1,3.1,2.8,3.15,3.04
Anthracene,crystal,7,H,0.74,0.88,4.5,5.78,3.31,2.0,5.08,5.08,3.96,3.1,3.1,2.8,3.15,3.04
Anthracene,crystal,8,H,0.74,0.88,4.5,5.78,3.31,2.36,5.08,5.08,3.96,3.1,3.1,2.8,3.15,3.04
Anthracene,crystal,9,H,0.76,0.9,4.5,5.78,3.43,2.14,5.22,5.21,4.06,3.1,3.1,2.83,3.17,3.05
