group,method,scale,N,MRE,MARE,MdRE,MdARE,SDRE,ME,MAE
SC,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78])",1.0,24.0,-0.0481,0.0482,-0.0424,0.0424,0.0293,-0.1908,0.1912
SC,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],17base)",1.0,24.0,-0.0431,0.0437,-0.0373,0.0373,0.029,-0.176,0.1777
SC,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],17base,vdw[BG])",1.0,24.0,-0.0446,0.0446,-0.0386,0.0386,0.0316,-0.1813,0.1813
SC,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],vdw17)",1.0,24.0,-0.0441,0.046,-0.0413,0.0413,0.0282,-0.1837,0.1882
SC,PBE+MBD(scs),1.0,24.0,-0.0418,0.0482,-0.0431,0.0431,0.0254,-0.1838,0.1996
SC,"PBE+MBD(vvpol,corr,beta[0.78],17base)",1.0,24.0,-0.0565,0.0565,-0.0534,0.0534,0.0289,-0.2217,0.2217
SC,"PBE+MBD(vvpol[nm],beta[0.78],17base)",1.0,24.0,-0.026,0.0368,-0.0242,0.0295,0.0247,-0.1275,0.156
SC,"PBE+MBD(vvpol[nm],corr,beta[0.78])",1.0,24.0,-0.049,0.049,-0.0434,0.0434,0.0296,-0.1935,0.1935
SC,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",1.0,24.0,-0.0439,0.0444,-0.0378,0.0378,0.0292,-0.1784,0.1797
SC,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw[BG])",1.0,24.0,-0.0453,0.0453,-0.0388,0.0388,0.0316,-0.1834,0.1834
SC,"PBE+MBD(vvpol[nm],corr,beta[0.78],vdw17)",1.0,24.0,-0.045,0.0465,-0.0418,0.0418,0.0286,-0.1862,0.1897
TM,PBE,1.0,15.0,-0.0378,0.1113,-0.0079,0.0707,0.1232,-0.1113,0.4441
TM,"PBE+MBD(rpa,scs)",1.0,15.0,-0.1957,0.2051,-0.1517,0.1517,0.1741,-0.9339,0.9697
TM,"PBE+MBD(rpa,vvpol,corr,beta[0.78],17base)",1.0,15.0,-0.1658,0.1688,-0.1291,0.1291,0.1738,-0.6934,0.7048
TM,"PBE+MBD(rpa,vvpol[nm],beta[0.78],17base)",1.0,15.0,-0.0572,0.1129,-0.0179,0.0641,0.134,-0.1969,0.4532
TM,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78])",1.0,15.0,-0.0798,0.1167,-0.0336,0.0537,0.1414,-0.302,0.4761
TM,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],17base)",1.0,15.0,-0.0694,0.1162,-0.0233,0.0556,0.1379,-0.2533,0.4695
TM,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],17base,vdw[BG])",1.0,15.0,-0.0765,0.1174,-0.0358,0.0644,0.1341,-0.2868,0.4813
TM,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],vdw17)",1.0,15.0,-0.0893,0.1226,-0.0383,0.0594,0.1493,-0.3514,0.5003
TM,PBE+MBD(scs),1.0,8.0,-0.2206,0.2379,-0.1538,0.1538,0.2199,-0.9507,1.0168
TM,"PBE+MBD(vvpol,corr,beta[0.78],17base)",1.0,5.0,-0.1343,0.1343,-0.079,0.079,0.1147,-0.7415,0.7415
TM,"PBE+MBD(vvpol[nm],beta[0.78],17base)",1.0,15.0,-0.0574,0.1129,-0.0179,0.0641,0.134,-0.1975,0.4533
TM,"PBE+MBD(vvpol[nm],corr,beta[0.78])",1.0,15.0,-0.0798,0.1165,-0.0334,0.0526,0.1413,-0.3017,0.4757
TM,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",1.0,15.0,-0.0694,0.116,-0.0231,0.0557,0.1378,-0.253,0.4692
TM,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw[BG])",1.0,15.0,-0.0768,0.1175,-0.0365,0.0653,0.1339,-0.2881,0.482
TM,"PBE+MBD(vvpol[nm],corr,beta[0.78],vdw17)",1.0,15.0,-0.0892,0.1224,-0.0381,0.0586,0.1491,-0.351,0.4999
TMCN,PBE,1.0,10.0,-0.0083,0.0382,0.0002,0.0481,0.0277,-0.0383,0.2747
TMCN,"PBE+MBD(rpa,scs)",1.0,6.0,-0.083,0.083,-0.09,0.09,0.0437,-0.578,0.578
TMCN,"PBE+MBD(rpa,vvpol,corr,beta[0.78],17base)",1.0,10.0,-0.0511,0.0555,-0.0427,0.0427,0.0386,-0.3577,0.3934
TMCN,"PBE+MBD(rpa,vvpol[nm],beta[0.78],17base)",1.0,10.0,-0.0235,0.0441,-0.0144,0.0421,0.0289,-0.151,0.3135
TMCN,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78])",1.0,10.0,-0.032,0.0452,-0.023,0.0305,0.0312,-0.2154,0.3194
TMCN,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],17base)",1.0,10.0,-0.0281,0.045,-0.0193,0.0367,0.03,-0.1855,0.319
TMCN,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],17base,vdw[BG])",1.0,10.0,-0.028,0.0456,-0.0176,0.0376,0.0312,-0.1845,0.3224
TMCN,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],vdw17)",1.0,10.0,-0.0403,0.0501,-0.0317,0.0324,0.0358,-0.2767,0.3534
TMCN,PBE+MBD(scs),1.0,0.0,,,,,,,
TMCN,"PBE+MBD(vvpol,corr,beta[0.78],17base)",1.0,0.0,,,,,,,
TMCN,"PBE+MBD(vvpol[nm],beta[0.78],17base)",1.0,10.0,-0.0236,0.0442,-0.0145,0.042,0.0289,-0.1517,0.3137
TMCN,"PBE+MBD(vvpol[nm],corr,beta[0.78])",1.0,10.0,-0.0319,0.0451,-0.0228,0.0306,0.0311,-0.2148,0.319
TMCN,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",1.0,10.0,-0.028,0.045,-0.0192,0.0367,0.03,-0.185,0.3187
TMCN,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw[BG])",1.0,10.0,-0.028,0.0455,-0.0175,0.0376,0.0312,-0.1843,0.3222
TMCN,"PBE+MBD(vvpol[nm],corr,beta[0.78],vdw17)",1.0,10.0,-0.0402,0.05,-0.0315,0.0323,0.0358,-0.2758,0.3527
